SampleType,ceramideName,n_SP,n_MP,mean_SP,mean_MP,sd_SP,sd_MP,CV_SP,CV_MP,CV_SP_Intra,CV_MP_Intra
SRM,Cer 18:1;O2/16:0,31,31,0.34747329858185527,0.24113537025474918,0.03004589892483486,0.031132209803432905,0.08646966269771333,0.1291067742179136,3.793844365988101,4.366369405819026
SRM,Cer 18:1;O2/18:0,31,31,0.055304535948841625,0.08347175412107849,0.005423011657735395,0.009708173107131492,0.0980572671788051,0.11630488911314205,4.296242801456245,4.300396501096135
SRM,Cer 18:1;O2/24:0,32,32,2.581046007572342,2.403096604412565,0.2706387148252915,0.2510562859812472,0.10485621489554404,0.10447199064750777,3.86540607609437,3.652313278099924
SRM,Cer 18:1;O2/24:1,29,29,0.8389518451035356,0.8537559595516032,0.12966427567065106,0.07416618736764266,0.15455508731213186,0.08687047690606471,3.3955093911681167,3.5467431640259965
hTAG,Cer 18:1;O2/16:0,33,33,0.40245262896393347,0.28931520760973,0.05211090171161843,0.036603285109678564,0.12948331793923615,0.12651697576525028,4.8476017483731,5.158566572090505
hTAG,Cer 18:1;O2/18:0,30,30,0.06512047372921666,0.09872102437326671,0.008020639617805268,0.010151836830924948,0.12316617429960072,0.102833584794872,5.598536737998861,5.631670279133324
hTAG,Cer 18:1;O2/24:0,33,33,3.9598216760892853,3.741450170835131,0.48079766797726925,0.4723088651598279,0.12141902017469242,0.12623684496495743,4.160458799584211,4.200623576492542
hTAG,Cer 18:1;O2/24:1,30,30,1.2352217662563583,1.2644628867201113,0.2133946271649221,0.1458112023950379,0.17275814998926609,0.11531473475924421,4.759608626986355,4.834913165223906
DB,Cer 18:1;O2/16:0,32,32,0.3080045182011708,0.21494722207568626,0.034889466906768314,0.029781545897991864,0.11327582825905341,0.1385528299012179,4.3269968536666505,5.472101913255233
DB,Cer 18:1;O2/18:0,31,31,0.06330611306578653,0.09578481130241139,0.007115665211631325,0.010684687944748465,0.11240091781084172,0.111548875019598,4.678435683681071,4.987531993677957
DB,Cer 18:1;O2/24:0,33,33,2.535985513695598,2.3908400187112226,0.26877979468207547,0.2936319471562818,0.10598632887708911,0.12281538909264347,3.432879666546005,3.5216264233124708
DB,Cer 18:1;O2/24:1,31,31,0.8524891938954592,0.8653383057412875,0.16133831767324416,0.10249646837108689,0.18925555752326534,0.11844670193270115,4.215956515407892,4.127348079096554
YAA,Cer 18:1;O2/16:0,32,32,0.20990380016241078,0.1436081071836395,0.025558881344835832,0.022603417689343982,0.12176473853765356,0.15739652957363864,5.840448699325855,6.517926690482955
YAA,Cer 18:1;O2/18:0,32,32,0.03298196710229806,0.04850702148573334,0.004226117800677874,0.008754128001495857,0.128134194894137,0.1804713572048653,5.269177678881724,5.301866910413702
YAA,Cer 18:1;O2/24:0,32,32,1.7356397844701112,1.6367996565830232,0.1708846167717709,0.22655627399743494,0.09845626857645566,0.13841417493353644,3.6332626103470282,3.5182064489794307
YAA,Cer 18:1;O2/24:1,30,30,0.541237185195224,0.5465833543584415,0.09884425624759187,0.07684468312692315,0.18262650636603764,0.14059096844820765,4.705814950261546,4.785875321937722
