Compound,Study,n_labs,MEAN,SD,CV,SEM,CV_SEM,MAD,MEDM,MADM,Uncertainty,COD,Conc_max
Cer 34:1;O2 | Cer 18:1;O2/16:0,Quehenberger 2010,1,0.331,NA,NA,NA,NA,0,0.331,0,0,0,0.331
Cer 34:1;O2 | Cer 18:1;O2/16:0,Bowden 2017 (mp),15,0.39688666666666667,0.432212500425207,108.90073583353946,0.11159678774463284,28.118049084868773,0.10852631999999998,0.2803,38.7179165180164,0.03511958585105197,12.529284998591498,1.8371
Cer 34:1;O2 | Cer 18:1;O2/16:0,Thompson 2019 (sp),14,0.12118518518518519,0.026392923668155564,21.7790018044071,0.007053805557251076,5.820683069858773,0.03805340000000002,0.11333333333333333,33.576529411764724,0.012746454114560846,11.246871277553689,0.15433333333333332
Cer 34:1;O2 | Cer 18:1;O2/16:0,Ghorasaini 2021 (sp),9,0.6211111111111111,0.6349103173764867,102.22169689424653,0.21163677245882892,34.07389896474884,0.044477999999999955,0.41,10.848292682926818,0.018581635399839588,4.532106195082827,2.3
Cer 34:1;O2 | Cer 18:1;O2/16:0,ILS Ceramides (mp),39,0.2500015504183957,0.061191059173718844,24.47627187563884,0.009798411334865439,3.9193402274774245,0.029556717274650996,0.24807004978953112,11.914665756598856,0.0059317635686124606,2.391164743041378,0.4779899123247745
Cer 36:1;O2 | Cer 18:1;O2/18:0,Quehenberger 2010,1,0.128,NA,NA,NA,NA,0,0.128,0,0,0,0.128
Cer 36:1;O2 | Cer 18:1;O2/18:0,Bowden 2017 (mp),13,0.15794615384615385,0.12953701926080574,82.01340526910215,0.03592710500120012,22.746425997935106,0.049518839999999995,0.1182,41.8941116751269,0.017213085460136078,14.562678054260642,0.4924
Cer 36:1;O2 | Cer 18:1;O2/18:0,Ghorasaini 2021 (sp),9,0.12000000000000001,0.01732050807568878,14.433756729740649,0.00577350269189626,4.811252243246883,0.014825999999999992,0.12,12.354999999999993,0.006193878466613199,5.161565388844333,0.14
Cer 36:1;O2 | Cer 18:1;O2/18:0,ILS Ceramides (mp),39,0.08788154589885051,0.026891722299026297,30.599965014245427,0.004306121844382174,4.899915904231377,0.009505769118807897,0.08573856486759511,11.086923525589128,0.0019077211595126934,2.2250444271591916,0.18143217733042902
Cer 42:1;O2 | Cer 18:1;O2/24:0,Quehenberger 2010,1,3,NA,NA,NA,NA,0,3,0,0,0,3
Cer 42:1;O2 | Cer 18:1;O2/24:0,Bowden 2017 (mp),18,3.0106555555555556,2.42617868146167,80.58639179047394,0.5718557993439278,18.99439470213335,1.4132884499999998,1.90655,74.12805591251212,0.4174980926071313,21.898093027045253,8.4343
Cer 42:1;O2 | Cer 18:1;O2/24:0,Thompson 2019 (sp),14,1.9233333333333333,0.19729798713239766,10.258127580540606,0.052730105067826126,2.7415999168713756,0.12354999999999972,1.9116666666666666,6.462946817785513,0.04138459128104159,2.1648434846229256,2.45
Cer 42:1;O2 | Cer 18:1;O2/24:0,Ghorasaini 2021 (sp),9,3.3066666666666666,0.5205525910030611,15.742517873076444,0.1735175303343537,5.247505957692148,0.45960600000000007,3.42,13.438771929824563,0.1920102324650093,5.614334282602611,4.23
Cer 42:1;O2 | Cer 18:1;O2/24:0,ILS Ceramides (mp),39,2.488773443402841,0.6265976371490386,25.176965738283773,0.10033592281530543,4.031541042085314,0.2922637334436177,2.443894342051996,11.958934902161968,0.058654665548881914,2.400049156774634,5.017349695409944
Cer 42:2;O2 | Cer 18:1;O2/24:1,Quehenberger 2010,1,1,NA,NA,NA,NA,0,1,0,0,0,1
Cer 42:2;O2 | Cer 18:1;O2/24:1,Bowden 2017 (mp),18,1.0185166666666667,0.7408609453157304,72.73920688410242,0.17462259944967634,17.144795481960006,0.33692085,0.80305,41.955152232115054,0.09952944300547663,12.393928523189917,3.2626
Cer 42:2;O2 | Cer 18:1;O2/24:1,Thompson 2019 (sp),14,1.0518333333333334,0.09309032007844688,8.850291878793872,0.024879434554190807,2.365339998813894,0.06078659999999997,1.0398333333333334,5.845802211892928,0.020361218910272497,1.9581233124160116,1.3166666666666667
Cer 42:2;O2 | Cer 18:1;O2/24:1,Ghorasaini 2021 (sp),9,1.1722222222222223,0.1731168519943811,14.768262255444832,0.05770561733146037,4.922754085148277,0.20756399999999983,1.18,17.59016949152541,0.08671429853258476,7.348669367168201,1.46
Cer 42:2;O2 | Cer 18:1;O2/24:1,ILS Ceramides (mp),39,0.9038966335639844,0.24219950468851928,26.795044443693534,0.038782959538279135,4.290640997893902,0.07517994727976474,0.873889058320375,8.602916647596146,0.01508792969870094,1.7265269035065065,1.7906420827768499
